,ID,Resolution
12,"['cs.CV', 'cs.AI', 'cs.LG']",the recent advancements in artificial intelligence ai commingle with the extensive amount of money of data generated by today clinical systems has led to the development of imaging ai solutions across the whole value chain of medical imaging including image reconstruction medical image sectionalization image based diagnosing and treatment planning notwithstanding the successes and future potential of ai in medical imaging many stakeholders are concerned of the potential risks and ethical implications of imaging ai solutions which are perceived as complex opaque and difficult to comprehend utilise and trust in critical clinical applications despite these concerns and risks there are currently no concrete guidelines and best practices for guiding future ai developments in medical imaging towards increased trust safety and acceptance to bridge this gap this paper introduces a careful selection of guiding principles drawn from the accumulated experiences consensus and best practices from five large european design on ai in health imaging these guiding principles are named future ai and its building blocks consist of i fairness ii universality iii traceability iv usability quintet robustness and vi explainability in a step by step approach these guidelines are further translated into a theoretical account of concrete recommendations for specifying developing evaluating and deploying technically clinically and ethically trusty ai solutions into clinical practice
13,"['cs.CV', 'cs.AI', 'cs.LG']",the recent advancements in artificial intelligence ai combined with the extensive amount of data generated by todays clinical systems has led to the development of imaging ai solutions across the whole value chain of medical imaging including image reconstruction medical image segmentation image based diagnosis and treatment planning notwithstanding the successes and future potential of ai in medical imaging many stakeholders are concerned of the potential risks and ethical implications of imaging ai solutions which are perceived as complex opaque and difficult to comprehend utilise and trust in critical clinical applications despite these concerns and risks there are currently no concrete guidelines and best practices for guiding future ai developments in medical imaging towards increased trust safety and adoption to bridge this gap this paper introduces a careful selection of guiding principles drawn from the accumulated experiences consensus and best practices from five large european projects on ai in health imaging these guiding principles are named future ai and its building blocks consist of i fairness ii universality iii traceability iv usability v robustness and vi explainability in a step by step approach these guidelines are further translated into a framework of concrete recommendations for specifying developing evaluating and deploying technically clinically and ethically trustworthy ai solutions into clinical practice 
14,"['cs.CV', 'cs.AI']",in this paper we proposed a novel mutual network mc net to effectively exploit the unlabeled hard regions for semi supervised medical image segmentation the mc net model is motivated by the observation that deep models trained with limited annotations are prone to highly uncertain and easily mis classified predictions in regions e g adhesive edges or thin branches for the image segmentation task leveraging these region level samples can make the semi supervised segmentation model training more effective therefore our proposed net model consists of two new designs first the model contains one shared encoder and multiple sightly decoders i e different up sampling strategies the statistical discrepancy of multiple decoders outputs is computed to denote the models uncertainty which indicates the unlabeled hard regions second a mutual consistency constraint is enforced between one decoders probability output and other decoders soft labels in this way we minimize the models uncertainty during training and force model to generate invariant and low entropy results such of unlabeled data in order to learn a generalized feature representation we compared the segmentation results of the mc net with five state of the art supervised approaches on three public medical datasets extension experiments with two common semi supervised settings demonstrate the superior performance of our model over other existing methods which sets a new state of the art for semi supervised medical image segmentation
15,"['cs.CV', 'cs.AI']",in this paper we proposed a new mutual consistency network mc web to effectively exploit the untagged firmly regions for semi supervised medical image segmentation the mc web model is prompt by the observation that deep posture trained with limited annotations are prone to output highly uncertain and easily mis classified predictions in the ambiguous regions e g adhesive edges or thin branches for the image segmentation task leveraging these region level challenging samples bum make the semi supervised segmentation model training more effective therefore our proposed mc web model consists of two new designs first the model contains one shared encoder and multiple sightly different decoders i e using different up sampling strategies the statistical discrepancy of multiple decoders outputs is computed to denote the posture uncertainty which indicate the untagged firmly regions second a new mutual consistency constraint is enforced between one decoders probability output and other decoders soft fake labels in this way we downplay the posture uncertainty during training and force the model to generate constant and low entropy results in such challenging areas of untagged data in order to learn a generalized feature representation we compared the segmentation results of the mc web with five state of the fine art semi supervised approaches on three public medical datasets extension experiments with two common semi supervised settings demonstrate the superior performance of our model over other existing methods which sets a new state of the fine art for semi supervised medical image segmentation
16,"['cs.CV', 'cs.AI']",in this paper we proposed a novel mutual consistency network mc profit to efficaciously exploit the unlabeled hard regions for articulated lorry supervised medical image segmentation the mc profit model is motivated by the observation that deep models trained with limited annotations are prone to output highly uncertain and easily mis classified foretelling in the ambiguous regions e g adhesive edges or sparse branches for the image segmentation task leveraging these region level challenging taste can make the articulated lorry supervised segmentation model training more effective therefore our proposed mc profit model consists of two freshly designs first the model contains one partake in encoder and multiple sightly different decoders i e using different up sample distribution strategies the statistical discrepancy of multiple decoders outputs is computed to denote the models uncertainty which indicates the unlabeled hard regions second a freshly mutual consistency constraint is enforced between one decoders probability output and other decoders soft pseudo labels in this way we minimize the models uncertainty during training and force the model to generate invariant and low entropy results in such challenging areas of unlabeled data in order to learn a vulgarise feature representation we compared the segmentation results of the mc profit with five state of the art articulated lorry supervised border on on three public medical datasets file name extension experiments with two common articulated lorry supervised settings demonstrate the superior performance of our model over other existing methods which sets a freshly state of the art for articulated lorry supervised medical image segmentation
17,"['cs.CV', 'cs.AI']",in this paper proposed a novel mutual consistency network mc net to effectively exploit the unlabeled hard regions for semi image segmentation the mc net model is motivated by the observation that models trained with limited annotations are prone to output highly uncertain and easily mis classified predictions in the ambiguous regions e g adhesive edges or thin branches for the image segmentation task leveraging these region level challenging samples can make the semi supervised segmentation model training more effective therefore our proposed mc model consists two designs first the model contains one shared encoder and multiple sightly different i e using different up sampling strategies the statistical discrepancy of outputs is computed to denote the models uncertainty which indicates the unlabeled hard regions second a new mutual consistency constraint is enforced between one decoders probability output and decoders soft pseudo labels this way we minimize the models uncertainty during training and the model to generate invariant and low entropy results such challenging areas of unlabeled data in order to learn a generalized feature representation we compared the segmentation results of the mc net with five of the art supervised approaches on three public medical datasets extension experiments with two common semi settings demonstrate the superior performance of our model other existing methods which sets new state of the art for semi supervised medical image segmentation
18,"['cs.CV', 'cs.AI']",in this paper we proposed a novel mutual consistency network mc net effectively exploit unlabeled regions for semi supervised image segmentation the mc net model is motivated the observation that deep models trained with limited annotations are prone to output highly uncertain easily mis classified predictions in the ambiguous regions e g adhesive edges or branches for the image segmentation leveraging these region level challenging samples can make semi segmentation model training more effective our proposed mc model consists of two new designs first the model contains one shared encoder and multiple sightly different i using different up sampling strategies the discrepancy of multiple decoders outputs is computed to denote the models uncertainty which unlabeled hard regions second a new mutual consistency constraint is enforced between one decoders probability output and other decoders soft pseudo labels in way we the models uncertainty during training and force the model to generate invariant and low entropy in such challenging of unlabeled in order to learn a generalized feature representation we compared the segmentation results of mc net five of the art semi supervised approaches on three public medical datasets experiments with common semi settings the superior performance our model over other existing methods which sets a new state of the art for semi supervised medical image segmentation
19,"['cs.CV', 'cs.AI']",in this paper we proposed a novel mutual consistency network mc net profit to efficaciously exploit the unlabeled hard regions for semitrailer supervised medical image segmentation the mc net profit pattern is motivated by the observation that deep models trained with limited annotations are prone to output highly uncertain and easily admiralty mile classified predictions in the ambiguous regions e g adhesive material edges or thin branches for the image segmentation task leveraging these region level challenging samples can make the semitrailer supervised segmentation pattern training more effective therefore our proposed mc net profit pattern consists of two new designs first the pattern contains one shared encoder and multiple sightly unlike decipherer i e victimisation unlike up sampling strategies the statistical discrepancy of multiple decipherer outputs is computed to denote the models uncertainty which indicates the unlabeled hard regions second a new mutual consistency restraint is enforced between one decipherer probability output and other decipherer easygoing pseudo labels in this way we minimize the models uncertainty during training and force the pattern to generate invariant and low entropy results in such challenging areas of unlabeled data in order to learn a generalized feature representation we compared the segmentation results of the mc net profit with five state of the art semitrailer supervised approaches on three public medical datasets extension experiments with two common semitrailer supervised settings demonstrate the superior performance of our pattern over other existing methods which pose a new state of the art for semitrailer supervised medical image segmentation
20,"['cs.CV', 'cs.AI']",in this paper we proposed a novel mutual consistency network mc net to effectively exploit the unlabeled hard regions for semi supervised medical image segmentation the mc net model is motivated by the observation that deep models trained with limited annotations are prone to output highly uncertain and easily mis classified predictions in the ambiguous regions e g adhesive edges or thin branches for the image segmentation task leveraging these region level challenging samples can make the semi supervised segmentation model training more effective therefore our proposed mc net model consists of two new designs first the model contains one shared encoder and multiple sightly different decoders i e using different up sampling strategies the statistical discrepancy of multiple decoders outputs is computed to denote the models uncertainty which indicates the unlabeled hard regions second a new mutual consistency constraint is enforced between one decoders probability output and other decoders soft pseudo labels in this way we minimize the models uncertainty during training and force the model to generate invariant and low entropy results in such challenging areas of unlabeled data in order to learn a generalized feature representation we compared the segmentation results of the mc net with five state of the art semi supervised approaches on three public medical datasets extension experiments with two common semi supervised settings demonstrate the superior performance of our model over other existing methods which sets a new state of the art for semi supervised medical image segmentation 
21,['cs.CV'],consistency training has proven to be an advanced semi supervised framework and accomplish promising outcome in medical image segmentation tasks through enforcing an invariance of the prognostication over different views of the inputs however with the iterative updating of model parameters the models would tend to reach a coupled state and eventually lose the power to exploit unlabeled data to address the issue we present a novel semi supervised segmentation model based on parameter decoupling strategy to encourage consistent prognostication from diverse views specifically we first adopt a two branch network to at the same time produce prognostication for each image during the training process we dissociate the two prediction branch parameters by quadratic cosine space to construct different views in latent space based on this the feature centrifuge is constrained to encourage the consistency of probability maps generated by classifiers under diversified features in the boilers suit training process the parameters of feature centrifuge and classifiers are updated alternately by consistency regularization operation and decoupling operation to gradually improve the generalization performance of the model our method has accomplish a competitive resolution over the state of the art semi supervised methods on the atrial segmentation challenge dataset demonstrating the effectiveness of our framework code is available at https github com bx pdc
22,['cs.CV'],consistency training has proven be an advanced semi supervised framework achieved promising results in medical segmentation tasks through an of predictions different views the inputs however with the iterative updating parameters the models would to reach a coupled and eventually lose the ability to exploit unlabeled data to address the issue we present a novel semi supervised model based on parameter decoupling strategy to encourage consistent predictions from diverse views specifically we first adopt a two branch network to simultaneously produce predictions for image during the training we the two prediction branch parameters by quadratic cosine distance to construct different views latent space based on this the feature is constrained to encourage the consistency of maps generated by classifiers under diversified features in the overall training process the parameters feature extractor classifiers are updated alternately by consistency regularization and decoupling operation to gradually improve the performance of the model our method has achieved a competitive result over the of the art semi supervised methods on the atrial segmentation challenge dataset demonstrating the effectiveness of our framework is available at https github com bx pdc
23,['cs.CV'],consistency training has test to be an forward looking semi supervised framework and achieved promising results in medical image segmentation tasks through enforcing an invariance of the predictions over different vista of the inputs however with the iterative updating of model parameters the models would be given to reach a coupled state and eventually lose the power to exploit unlabelled data to address the issue we present a novel semi supervised segmentation model based on parameter decoupling strategy to encourage consistent predictions from diverse vista specifically we first adopt a two branch network to simultaneously produce predictions for each image during the training process we decouple the two prediction branch parameters by quadratic cosine distance to construct different vista in latent space based on this the lineament extractor is constrained to encourage the consistency of chance maps generated by classifiers under diversified features in the overall training process the parameters of lineament extractor and classifiers are updated alternately by consistency regularization operation and decoupling operation to gradually improve the generalization carrying into action of the model our method has achieved a competitive result over the state of the art semi supervised method acting on the atrial segmentation challenge dataset demonstrating the effectiveness of our framework code is available at https github com bx pdc
24,['cs.CV'],consistency training has proven to an advanced semi supervised framework and achieved results in medical image segmentation through enforcing an the predictions over different views of the inputs however the iterative updating of model parameters the models would to reach coupled state and eventually lose the ability to exploit unlabeled data to address the issue we present a novel semi supervised based on parameter decoupling strategy to encourage consistent predictions diverse views specifically we first adopt branch network to simultaneously produce predictions for each image during the training process we decouple two prediction branch parameters by quadratic cosine distance to construct different views in latent space on this the feature extractor is constrained to the consistency of probability maps generated classifiers under diversified features in the overall training process the parameters of feature extractor and classifiers are updated alternately by consistency regularization operation and decoupling operation to gradually improve the generalization performance of the model our method achieved a competitive result over the state art methods the atrial segmentation challenge dataset demonstrating the effectiveness of our framework code is available at https github com bx pdc
25,['cs.CV'],consistency training to advanced supervised framework and achieved promising results in medical image segmentation tasks through enforcing an invariance of predictions over different views of the inputs however with the iterative updating of model parameters the models would to reach a coupled state and eventually lose the ability to exploit data to address the issue we present a novel semi supervised segmentation model based on parameter decoupling strategy to encourage from diverse views specifically we adopt a two branch network to simultaneously produce predictions for each image during the training process we the two prediction branch parameters by cosine distance to construct different views in latent space on this the feature extractor is constrained to encourage the consistency of probability maps by classifiers under diversified features in the overall training process the parameters of feature extractor and classifiers are updated alternately by consistency regularization operation and operation to gradually improve the generalization performance of the model method has achieved a competitive the state of the art semi supervised methods on the segmentation challenge dataset demonstrating the effectiveness of our framework code is available at github com bx pdc
26,['cs.CV'],consistency training has establish to be an advanced semi supervised framework and achieved promising results in medical image segmentation tax through enforcing an invariance of the predictions over different views of the inputs however with the iterative aspect updating of model parametric quantity the models would tend to reach a coupled state and finally lose the ability to exploit unlabeled data to address the issue we present a novel semi supervised segmentation model based on parameter decoupling scheme to encourage consistent predictions from diverse views specifically we first adopt a two branch network to simultaneously produce predictions for each image during the training process we decouple the two prevision branch parametric quantity by quadratic cosine distance to construct different views in latent space based on this the characteristic extractor is constrained to encourage the consistency of chance maps generated by classifiers under diversified features in the overall training process the parametric quantity of characteristic extractor and classifiers are updated alternately by consistency regularization operation and decoupling operation to gradually improve the generalization performance of the model our method has achieved a militant result over the state of the art semi supervised methods on the atrial segmentation challenge dataset demonstrating the effectiveness of our framework code is available at https github com bx pdc
27,['cs.CV'],consistency training has proven to be an advanced semi supervised framework and achieved promising results in medical image segmentation tasks through enforcing an invariance of the predictions over different views of the inputs however with the iterative updating of model parameters the models would tend to reach a coupled state and eventually lose the ability to exploit unlabeled data to address the issue we present a novel semi supervised segmentation model based on parameter decoupling strategy to encourage consistent predictions from diverse views specifically we first adopt a two branch network to simultaneously produce predictions for each image during the training process we decouple the two prediction branch parameters by quadratic cosine distance to construct different views in latent space based on this the feature extractor is constrained to encourage the consistency of probability maps generated by classifiers under diversified features in the overall training process the parameters of feature extractor and classifiers are updated alternately by consistency regularization operation and decoupling operation to gradually improve the generalization performance of the model our method has achieved a competitive result over the state of the art semi supervised methods on the atrial segmentation challenge dataset demonstrating the effectiveness of our framework code is available at https github com bx pdc 
28,"['cs.CV', 'cs.LG']",to ensure safety in automated driving the correct perception of the the car is as important as its environment thus seat occupancy detection and classification detected instances play an important role in interior sensing by the knowledge of the seat occupancy status it possible to e g automate the airbag deployment control furthermore the presence of a driver which is necessary for partially automated driving cars at the automation two to four can be verified in this work we compare different statistical methods the field image segmentation to approach the problem of background foreground segmentation in camera based interior sensing in recent years several methods on different techniques have been developed and applied to images or videos from different applications peculiarity of the given scenarios interior is that the foreground instances the background both contain static well as dynamic elements in data considered in work even the camera position is not fixed we review and benchmark three methods ranging i e gaussian mixture models gmm morphological and a deep network namely a mask r cnn in particular the limitations the classical methods gmm and morphological snakes for interior sensing are shown furthermore it turns that it is possible to overcome these limitations by deep learning e g using a mask r cnn although only a small amount of ground data was available mask r to produce high quality background foreground masks via transfer learning moreover we demonstrate certain augmentation as well as and post processing methods further enhance the performance of the methods
29,"['cs.CV', 'cs.LG']",to ensure safety in automated driving the correct perception of the situation inside the car is as important as its environment thus prat occupancy detection and classification of detected instances play an important role in interior perception by the knowledge of the prat occupancy status it is possible to e g automate the airbag deployment operate furthermore the presence of a driver which is necessary for partially automated driving cars at the automation levels two to four can be verified in this work we compare unlike statistical methods from the field of image segmentation to approach the problem of background foreground segmentation in camera based interior perception in the holocene years several methods based on unlike techniques have been developed and utilise to effigy or videos from unlike applications the peculiarity of the given scenarios of interior perception is that the foreground instances and the background both contain atmospherics as well as dynamic elements in datum considered in this work even the camera position is not completely fixed we review and benchmark three unlike methods ranging i e gaussian mixture models gmm morphological snakes and a deep neural network namely a mask r cnn in particular the limitations of the classical methods gmm and morphological snakes for interior perception are read furthermore it turns that it is possible to overwhelm these limitations by deep scholarship e g using a mask r cnn although only a small amount of ground truth datum was uncommitted for training we enabled the mask r cnn to produce high quality background foreground masks via transfer scholarship moreover we demonstrate that certain augmentation as well as pre and post processing methods further enhance the operation of the investigated methods
30,"['cs.CV', 'cs.LG']",to ensure in automated driving the correct perception of the situation inside the car is as important as its environment thus seat occupancy detection classification of detected instances play an important role in interior sensing by the knowledge the seat occupancy it is possible to e g automate the airbag deployment control furthermore the presence of driver which for partially automated driving cars at the automation levels two to four can be verified in this work we compare different statistical methods from the field of image segmentation to approach the problem of background foreground segmentation in camera based interior sensing in the recent years several methods based different techniques have been developed and to images or videos from different applications the peculiarity of given scenarios of sensing is that the foreground instances and the background both contain static as well as dynamic elements in data in this work even the position is not completely fixed we review and three different methods ranging i e gaussian models morphological snakes a deep neural network namely a mask cnn in particular the limitations of the classical methods gmm and snakes for interior sensing are shown furthermore it turns that it is to overcome these limitations by deep learning e g using a mask r cnn although only a small amount of ground truth data was available for training we enabled the mask r cnn to produce high quality background foreground masks via learning moreover we that certain augmentation as well as pre and post processing methods further enhance the performance the investigated methods
31,"['cs.CV', 'cs.LG']",to automated driving the correct perception of the situation inside the car is as important as its environment thus seat occupancy detection and classification of instances play an role in interior sensing by the knowledge of the seat occupancy status it is possible to e g automate airbag deployment furthermore the presence of a driver is necessary for partially driving cars at the automation levels two four can be verified in this work we compare different statistical methods from the field of image segmentation to approach the problem of background foreground segmentation in camera based interior sensing in the years several methods on techniques have developed and applied to or videos from different applications the peculiarity of the given scenarios of interior sensing that the foreground instances and the both contain static as well as dynamic elements in data considered in this work even the camera position is not completely fixed we review benchmark three different methods ranging i mixture models gmm and a deep neural network a mask r cnn in the limitations of the classical gmm and morphological for interior sensing are shown furthermore it turns that it is possible to overcome limitations by deep learning e g using a mask cnn although only small amount of ground truth data was for training we the mask r cnn to produce high quality background foreground masks via transfer learning moreover we demonstrate that certain augmentation as pre and post further enhance the performance of the investigated methods
32,"['cs.CV', 'cs.LG']",to ensure safety in automated driving the correct percept of the situation within the car is as important as its surround thus seat moving in detection and classification of observe instances play an important theatrical role in interior sensing by the knowledge of the seat moving in status it is possible to e g automate the airbag deployment control what is more the presence of a driver which is necessary for partially automated driving cars at the automation levels two to four can be verified in this work we compare different statistical methods from the field of visualise segmentation to approach the problem of background foreground segmentation in camera based interior sensing in the recent years several methods based on different techniques have been developed and applied to images or videos from different applications the peculiarity of the given scenarios of interior sensing is that the foreground instances and the background both contain motionless as well as dynamic elements in data considered in this work even the camera position is not completely fixed we review and benchmark three different methods ranging i e gaussian mixture models gmm morphological snakes and a deep nervous network namely a mask r cnn in particular the limitations of the classical methods gmm and morphological snakes for interior sensing are shown what is more it turns that it is possible to overcome these limitations by deep learning e g using a mask r cnn although only a low amount of ground the true data was available for training we enabled the mask r cnn to produce high quality background foreground masks via transfer learning what is more we demonstrate that certain augmentation as well as pre and post processing methods further enhance the public presentation of the investigated methods
33,"['cs.CV', 'cs.LG']",to ensure safety in automated driving the correct perception of the situation inside the car is as important as its environment thus seat occupancy detection and classification of detected instances play an important role in interior sensing by the noesis of the seat occupancy status it is possible to e g automatize the airbag deployment control furthermore the presence of a driver which is requisite for partially automated driving cars at the automation levels two to four tin be verified in this work we comparison different statistical methods from the field of image segmentation to approach the problem of background foreground segmentation in tv camera based interior sensing in the recent years several methods based on different techniques have been developed and applied to images or videos from different applications the specialness of the given scenarios of interior sensing is that the foreground instances and the background both contain static as well as dynamic elements in data considered in this work even the tv camera position is not completely fixed we review and bench mark three different methods ranging i e gaussian mixture models gmm morphological snakes and a cryptic neural meshwork namely a mask r cnn in particular the limitations of the classical methods gmm and morphological snakes for interior sensing are shown furthermore it turns that it is possible to overcome these limitations by cryptic learning e g using a mask r cnn although only a small scale amount of ground truth data was available for training we enable the mask r cnn to produce high quality background foreground masks via conveyance learning moreover we demonstrate that certain augmentation as well as pre and post processing methods further heighten the performance of the investigated methods
34,"['cs.CV', 'cs.LG']",to ensure safety in automated driving the correct perception of the situation inside the car is as important as its environment thus seat occupancy detection and classification of detected instances play an important role in interior sensing by the knowledge of the seat occupancy status it is possible to e g automate the airbag deployment control furthermore the presence of a driver which is necessary for partially automated driving cars at the automation levels two to four can be verified in this work we compare different statistical methods from the field of image segmentation to approach the problem of background foreground segmentation in camera based interior sensing in the recent years several methods based on different techniques have been developed and applied to images or videos from different applications the peculiarity of the given scenarios of interior sensing is that the foreground instances and the background both contain static as well as dynamic elements in data considered in this work even the camera position is not completely fixed we review and benchmark three different methods ranging i e gaussian mixture models gmm morphological snakes and a deep neural network namely a mask r cnn in particular the limitations of the classical methods gmm and morphological snakes for interior sensing are shown furthermore it turns that it is possible to overcome these limitations by deep learning e g using a mask r cnn although only a small amount of ground truth data was available for training we enabled the mask r cnn to produce high quality background foreground masks via transfer learning moreover we demonstrate that certain augmentation as well as pre and post processing methods further enhance the performance of the investigated methods 
